Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
OLEVS,Chronograph Watches for Men Original Analog Quartz Black Stainless Steel Chain Luxury Dual Time Zone Moon Phase Date Waterproof Men's Wrist Watch,4.0 out of 5 stars,664,£32.49,£37.05,(12% off)
TIMEX,"Men Stainless Steel Classics Analog Silver Dial Watch-Ti000R420, Band Color-Silver",4.1 out of 5 stars,123,£25.60,na,na
Fastrack,Vyb Hustler Quartz Analog Green Dial Watch for Men,3.4 out of 5 stars,34,£15.66,£22.18,(29% off)
Fire-Boltt,"Fire-Boltt Ninja Call Pro Max Smart Watch 2.01 inch Display, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Grey)",3.9 out of 5 stars,"95,014",£16.82,£142.49,(88% off)
boAt,"boAt New Launch Ultima Prime smartwatch with 1.43” AMOLED Display, Personalized Fitness Nudges, Functional Crown,100+ Sports Modes, Watch Face Studio (Onyx Black)",4.0 out of 5 stars,"2,012",£20.89,£85.49,(76% off)
Titan,Lagan Quartz Analog with Day and Date White Dial Two Toned Silver and Gold Metal Strap Watch for Men - NT1775BM02,3.8 out of 5 stars,98,£27.78,£36.05,(23% off)
LOUIS DEVIN,LD-BK047-GLDBLK Black Dial and Band Stainless Steel Metal Chain Analog Wrist Watch for Men,3.7 out of 5 stars,473,£4.36,£24.69,(82% off)
LONGBO,Master Royale Analog Stainless Steel Watch For Men,4.0 out of 5 stars,"1,211",£11.30,£18.99,(40% off)
Shocknshop,Shocknshop Digital Sports Multi Functional Black Dial Watch for Men Boys -WCH79 (Blue),3.7 out of 5 stars,391,£4.04,£12.72,(68% off)
Fire-Boltt,"Fire-Boltt Rise Smart Watch, 1.85"" HD Display, Metal Body with Bluetooth Calling, Rotating Crown, AI Voice Assistant, 120 Sports Modes, Neon UI, SpO2 & Heart Rate Monitoring (Black)",3.7 out of 5 stars,"1,764",£11.39,£113.99,(90% off)
